trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
33,False,"{'a': 0.01, 'e': 0.946042343528387}",25,0,-108.8127934662825,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
34,False,"{'a': 0.01, 'e': 0.9427546655283462}",25,11,-8.16108375868147,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
35,False,"{'a': 0.01, 'e': 0.9393727128473789}",20,0,-86.00975432249331,"{0: 9, 1: 5, 2: 5, 3: 1, 4: 0}",0
36,False,"{'a': 0.01, 'e': 0.9358968236779348}",20,0,-133.86336069801692,"{0: 10, 1: 3, 2: 3, 3: 3, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.9323273456060345}",30,0,-106.24148039360578,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
38,False,"{'a': 0.01, 'e': 0.9286646355765102}",20,8,-47.23123743192815,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
39,False,"{'a': 0.01, 'e': 0.9249090598573131}",25,0,-81.6835638934087,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.9210609940028851}",25,0,-107.07921733109262,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.9171208228166051}",20,0,-136.48953769524917,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
42,False,"{'a': 0.01, 'e': 0.9130889403123083}",25,0,-144.22514343630058,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
43,False,"{'a': 0.01, 'e': 0.9089657496748851}",25,0,-193.88321465909408,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
